portfolio,date,net_return,gross_return,tc_cost,turnover,n_stocks
xgb_gr_top_pct_10,2010-04-30,0.043903941868857155,0.04451932648424177,0.0006153846153846154,0.6153846153846154,26
xgb_gr_top_pct_10,2010-05-31,-0.09657379901495212,-0.09630456824572135,0.0002692307692307693,0.2692307692307693,25
xgb_gr_top_pct_10,2010-06-30,-0.058252904374391984,-0.057882534004021616,0.00037037037037037035,0.37037037037037035,27
xgb_gr_top_pct_10,2010-07-31,0.05602683962685453,0.05636017296018786,0.00033333333333333343,0.33333333333333337,27
xgb_gr_top_pct_10,2010-08-31,-0.06442935037574908,-0.06425077894717765,0.0001785714285714286,0.1785714285714286,28
xgb_gr_top_pct_10,2010-09-30,0.09908122322532953,0.09943836608247239,0.00035714285714285714,0.3571428571428571,28
xgb_gr_top_pct_10,2010-10-31,0.05590413649644743,0.05636842221073315,0.00046428571428571433,0.4642857142857143,28
xgb_gr_top_pct_10,2010-11-30,0.002320113987089434,0.002561493297434262,0.00024137931034482764,0.24137931034482762,29
xgb_gr_top_pct_10,2010-12-31,0.05836066425994149,0.05865098684058665,0.00029032258064516127,0.29032258064516125,31
xgb_gr_top_pct_10,2011-01-31,0.006159214575298142,0.006440464575298142,0.00028125000000000003,0.28125,32
xgb_gr_top_pct_10,2011-02-28,0.02307409773798446,0.02323034773798446,0.00015625,0.15625,32
xgb_gr_top_pct_10,2011-03-31,0.036611866225312234,0.036788336813547526,0.00017647058823529416,0.17647058823529416,34
xgb_gr_top_pct_10,2011-04-30,0.039843486761784105,0.04028466323237234,0.00044117647058823536,0.4411764705882353,34
xgb_gr_top_pct_10,2011-05-31,-0.007455768841738893,-0.00711291169888175,0.0003428571428571429,0.34285714285714286,33
xgb_gr_top_pct_10,2011-06-30,-0.0205160410363803,-0.02015492992526919,0.0003611111111111112,0.36111111111111116,36
xgb_gr_top_pct_10,2011-07-31,-0.054526895862217935,-0.054165784751106824,0.0003611111111111112,0.36111111111111116,36
xgb_gr_top_pct_10,2011-08-31,-0.042760884084054526,-0.042538661861832305,0.00022222222222222223,0.2222222222222222,35
xgb_gr_top_pct_10,2011-09-30,-0.08149886330357119,-0.08113775219246007,0.0003611111111111112,0.36111111111111116,34
xgb_gr_top_pct_10,2011-10-31,0.15634774855117883,0.15669060569403598,0.0003428571428571429,0.34285714285714286,34
xgb_gr_top_pct_10,2011-11-30,0.01760462427675113,0.017882402054528908,0.0002777777777777778,0.2777777777777778,35
xgb_gr_top_pct_10,2011-12-31,0.0016795135450149738,0.001976810842312271,0.0002972972972972973,0.29729729729729726,37
xgb_gr_top_pct_10,2012-01-31,0.10436438208201444,0.10458059829823066,0.00021621621621621624,0.21621621621621623,36
xgb_gr_top_pct_10,2012-02-29,0.028252306461688546,0.02859441172484644,0.0003421052631578947,0.3421052631578947,38
xgb_gr_top_pct_10,2012-03-31,0.01080312831398034,0.011197865156085604,0.0003947368421052632,0.39473684210526316,38
xgb_gr_top_pct_10,2012-04-30,0.00036631720581988247,0.0006294751005567246,0.00026315789473684215,0.26315789473684215,37
xgb_gr_top_pct_10,2012-05-31,-0.05815132988882553,-0.05788817199408869,0.00026315789473684215,0.26315789473684215,38
xgb_gr_top_pct_10,2012-06-30,0.0329287886110573,0.03319194650579414,0.00026315789473684215,0.26315789473684215,38
xgb_gr_top_pct_10,2012-07-31,-0.007267388694572503,-0.006925283431414609,0.0003421052631578947,0.3421052631578947,36
xgb_gr_top_pct_10,2012-08-31,0.01658601428919152,0.016822856394454678,0.00023684210526315788,0.23684210526315785,36
xgb_gr_top_pct_10,2012-09-30,0.02089430709942251,0.021199862654978065,0.0003055555555555556,0.3055555555555556,36
xgb_gr_top_pct_10,2012-10-31,0.0019504459944612595,0.0021936892377045028,0.0002432432432432432,0.2432432432432432,36
