portfolio,date,net_return,gross_return,tc_cost,turnover,n_stocks
vw_gr_top_n_25,2020-09-30,-0.01367539876452343,-0.013235398764523431,0.00043999999999999996,0.43999999999999995,25
vw_gr_top_n_25,2020-10-31,-0.00012826513471925148,7.173486528074847e-05,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2020-11-30,0.08135663567303285,0.08147663567303284,0.00012,0.12,25
vw_gr_top_n_25,2020-12-31,0.041283011293846004,0.041443011293846005,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2021-01-31,0.013378998371245019,0.013538998371245019,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2021-02-28,0.04559099406931448,0.04559099406931448,0.0,0.0,25
vw_gr_top_n_25,2021-03-31,0.06815936027985595,0.06823936027985594,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2021-04-30,0.06679048699525043,0.06711048699525043,0.0003199999999999999,0.31999999999999995,25
vw_gr_top_n_25,2021-05-31,0.023788681512479253,0.02390868151247925,0.00012,0.12,25
vw_gr_top_n_25,2021-06-30,0.02430334953476376,0.02458334953476376,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2021-07-31,0.01666530395738907,0.01682530395738907,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2021-08-31,0.040614953882344415,0.04069495388234441,7.999999999999997e-05,0.07999999999999996,24
vw_gr_top_n_25,2021-09-30,-0.04612916358727861,-0.045849163587278606,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2021-10-31,0.06437741464641202,0.06449741464641201,0.00012,0.12,25
vw_gr_top_n_25,2021-11-30,0.02994544835264346,0.03002544835264346,7.999999999999997e-05,0.07999999999999996,24
vw_gr_top_n_25,2021-12-31,0.07095339133522427,0.07131339133522427,0.00035999999999999997,0.36,25
vw_gr_top_n_25,2022-01-31,-0.07661204383871795,-0.07649204383871795,0.00012,0.12,25
vw_gr_top_n_25,2022-02-28,0.0128460230782168,0.0129260230782168,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2022-03-31,-0.006889847750341872,-0.006729847750341872,0.00016000000000000004,0.16000000000000003,24
vw_gr_top_n_25,2022-04-30,-0.04849320579230214,-0.04817320579230214,0.0003199999999999999,0.31999999999999995,25
vw_gr_top_n_25,2022-05-31,0.010523626987395424,0.010683626987395424,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2022-06-30,-0.13219298071620733,-0.13203298071620734,0.00016000000000000004,0.16000000000000003,24
vw_gr_top_n_25,2022-07-31,0.11954858165028985,0.11978858165028985,0.00024,0.24,25
vw_gr_top_n_25,2022-08-31,-0.00753158946408659,-0.00745158946408659,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2022-09-30,-0.08985339217957115,-0.08965339217957115,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2022-10-31,0.12039837642661444,0.12051837642661443,0.00012,0.12,25
vw_gr_top_n_25,2022-11-30,0.09351490155308029,0.09363490155308028,0.00012,0.12,25
vw_gr_top_n_25,2022-12-31,-0.05279142713032589,-0.05263142713032589,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2023-01-31,0.046576408040978935,0.04665640804097893,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2023-02-28,-0.009404990436329282,-0.009364990436329282,4.000000000000004e-05,0.040000000000000036,25
vw_gr_top_n_25,2023-03-31,0.0007197571444012851,0.0007997571444012851,7.999999999999997e-05,0.07999999999999996,25
vw_gr_top_n_25,2023-04-30,-0.03821106828546891,-0.038131068285468916,7.999999999999997e-05,0.07999999999999996,24
vw_gr_top_n_25,2023-05-31,-0.01769838725063824,-0.01753838725063824,0.00016000000000000004,0.16000000000000003,24
vw_gr_top_n_25,2023-06-30,0.11935512012739836,0.11955512012739837,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2023-07-31,0.06968818877761832,0.06968818877761832,0.0,0.0,25
vw_gr_top_n_25,2023-08-31,0.0019694560068627765,0.0020094560068627766,4.000000000000004e-05,0.040000000000000036,25
vw_gr_top_n_25,2023-09-30,-0.03411109423831943,-0.03379109423831943,0.0003199999999999999,0.31999999999999995,25
vw_gr_top_n_25,2023-10-31,-0.02956601019805784,-0.02932601019805784,0.00024,0.24,25
vw_gr_top_n_25,2023-11-30,0.09018333060263398,0.09030333060263397,0.00012,0.12,25
vw_gr_top_n_25,2023-12-31,0.07164829598277625,0.07192829598277625,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2024-01-31,0.06452181614903009,0.06460181614903009,7.999999999999997e-05,0.07999999999999996,24
vw_gr_top_n_25,2024-02-29,0.07599093724217093,0.07611093724217093,0.00012,0.12,25
vw_gr_top_n_25,2024-03-31,0.0901544419493141,0.0904344419493141,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2024-04-30,-0.030906660349144445,-0.030746660349144445,0.00016000000000000004,0.16000000000000003,25
vw_gr_top_n_25,2024-05-31,0.11600120003154404,0.11620120003154405,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2024-06-30,0.004838469908255267,0.005118469908255267,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2024-07-31,0.015970367016477756,0.016170367016477755,0.00019999999999999996,0.19999999999999996,25
vw_gr_top_n_25,2024-08-31,-0.020981459713030944,-0.020861459713030946,0.00012,0.12,25
vw_gr_top_n_25,2024-09-30,0.045191353749265015,0.04547135374926502,0.00028000000000000003,0.28,25
vw_gr_top_n_25,2024-10-31,-0.02334650482099911,-0.02310650482099911,0.00024,0.24,25
vw_gr_top_n_25,2024-11-30,0.060198129062008894,0.06043812906200889,0.00024,0.24,24
